Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,220nF,
"D3, D4",0402,2,LED,
L1,Antenna_8500000x5500000mm,1,L,
"R1, R2",0402,2,47,
U2,NT3H2111W0FHKH,1,13.56MHz,C710403
