Designator,Mid X,Mid Y,Rotation,Layer
C1,201.36,-66.77,180.0,bottom
D3,205.489508,-62.459736,270.0,top
D4,197.472544,-62.463,270.0,top
L1,201.613909,-72.185699,90.0,bottom
R1,204.425001,-66.56,0.0,bottom
R2,198.385001,-66.61,180.0,bottom
U2,201.538458,-68.951975,180.0,bottom
